Searching for Endgame Reversals...
Found 2071 SGF files.
[DEBUG] 89723932.sgf Winner:B LastWR(B):1.00 FinalWR:1.00
FOUND: 89723283.sgf | Winner: B | Low: 0.15 @ 213 | Reversal @ 217 (Total 334)
FOUND: 89724002.sgf | Winner: B | Low: 0.11 @ 101 | Reversal @ 154 (Total 286)
FOUND: 89723454.sgf | Winner: B | Low: 0.16 @ 127 | Reversal @ 216 (Total 333)
FOUND: 89724687.sgf | Winner: B | Low: 0.08 @ 143 | Reversal @ 214 (Total 316)
FOUND: 89723863.sgf | Winner: B | Low: 0.17 @ 101 | Reversal @ 128 (Total 304)
FOUND: 89723687.sgf | Winner: W | Low: 0.11 @ 182 | Reversal @ 183 (Total 309)
FOUND: 89722444.sgf | Winner: W | Low: 0.09 @ 124 | Reversal @ 147 (Total 284)
FOUND: 89722686.sgf | Winner: B | Low: 0.17 @ 134 | Reversal @ 182 (Total 325)
FOUND: 89724284.sgf | Winner: W | Low: 0.19 @ 149 | Reversal @ 228 (Total 329)
FOUND: 89724269.sgf | Winner: B | Low: 0.17 @ 100 | Reversal @ 148 (Total 274)
FOUND: 89722605.sgf | Winner: B | Low: 0.18 @ 180 | Reversal @ 205 (Total 347)
FOUND: 89724016.sgf | Winner: W | Low: 0.06 @ 141 | Reversal @ 166 (Total 310)
FOUND: 89724483.sgf | Winner: B | Low: 0.10 @ 119 | Reversal @ 216 (Total 341)
FOUND: 89723129.sgf | Winner: W | Low: 0.15 @ 158 | Reversal @ 165 (Total 264)
FOUND: 89722901.sgf | Winner: W | Low: 0.15 @ 168 | Reversal @ 262 (Total 317)
FOUND: 89721948.sgf | Winner: W | Low: 0.16 @ 103 | Reversal @ 141 (Total 283)
FOUND: 89722864.sgf | Winner: W | Low: 0.17 @ 110 | Reversal @ 195 (Total 334)
FOUND: 89724806.sgf | Winner: W | Low: 0.16 @ 100 | Reversal @ 184 (Total 302)
FOUND: 89721863.sgf | Winner: W | Low: 0.20 @ 139 | Reversal @ 196 (Total 334)
FOUND: 89724454.sgf | Winner: W | Low: 0.13 @ 118 | Reversal @ 136 (Total 304)
FOUND: 89724857.sgf | Winner: B | Low: 0.05 @ 182 | Reversal @ 213 (Total 312)
FOUND: 89724500.sgf | Winner: W | Low: 0.13 @ 207 | Reversal @ 248 (Total 347)
FOUND: 89722590.sgf | Winner: B | Low: 0.14 @ 174 | Reversal @ 199 (Total 280)
FOUND: 89723215.sgf | Winner: W | Low: 0.08 @ 151 | Reversal @ 240 (Total 322)
FOUND: 89723017.sgf | Winner: W | Low: 0.14 @ 178 | Reversal @ 221 (Total 317)
Processed 500...
FOUND: 89722790.sgf | Winner: B | Low: 0.14 @ 145 | Reversal @ 204 (Total 340)
FOUND: 89722000.sgf | Winner: W | Low: 0.19 @ 186 | Reversal @ 208 (Total 311)
FOUND: 89723320.sgf | Winner: W | Low: 0.17 @ 226 | Reversal @ 244 (Total 372)
FOUND: 89723465.sgf | Winner: W | Low: 0.05 @ 150 | Reversal @ 172 (Total 229)
FOUND: 89724810.sgf | Winner: W | Low: 0.15 @ 156 | Reversal @ 182 (Total 359)
FOUND: 89725047.sgf | Winner: W | Low: 0.15 @ 144 | Reversal @ 217 (Total 358)
FOUND: 89723271.sgf | Winner: W | Low: 0.14 @ 117 | Reversal @ 198 (Total 297)
FOUND: 89724542.sgf | Winner: W | Low: 0.14 @ 126 | Reversal @ 128 (Total 259)
FOUND: 89722558.sgf | Winner: B | Low: 0.14 @ 129 | Reversal @ 158 (Total 280)
FOUND: 89722349.sgf | Winner: B | Low: 0.02 @ 108 | Reversal @ 162 (Total 321)
FOUND: 89723497.sgf | Winner: W | Low: 0.05 @ 100 | Reversal @ 217 (Total 318)
FOUND: 89723712.sgf | Winner: W | Low: 0.05 @ 183 | Reversal @ 268 (Total 381)
FOUND: 89725257.sgf | Winner: B | Low: 0.18 @ 196 | Reversal @ 202 (Total 319)
FOUND: 89722846.sgf | Winner: W | Low: 0.10 @ 100 | Reversal @ 265 (Total 389)
FOUND: 89722320.sgf | Winner: B | Low: 0.14 @ 103 | Reversal @ 123 (Total 291)
FOUND: 89724735.sgf | Winner: W | Low: 0.20 @ 145 | Reversal @ 172 (Total 329)
FOUND: 89722183.sgf | Winner: W | Low: 0.13 @ 163 | Reversal @ 181 (Total 282)
Processed 1000...
