Searching for Endgrame Reversals (Massive & Late-Game)...
Found 2072 SGF files.
[Endgame] 89723932.sgf (W:B) Low:0.31@278 -> Rev@279 (Len:359)
[Endgame] 89723283.sgf (W:B) Low:0.15@213 -> Rev@217 (Len:334)
[Endgame] 89723454.sgf (W:B) Low:0.25@165 -> Rev@216 (Len:333)
[Endgame] 89724044.sgf (W:B) Low:0.31@278 -> Rev@295 (Len:358)
[Massive] 89724687.sgf (W:B) Low:0.08@143 -> Rev@214 (Len:316)
[Endgame] 89723211.sgf (W:W) Low:0.43@236 -> Rev@253 (Len:359)
[Endgame] 89722424.sgf (W:W) Low:0.22@262 -> Rev@282 (Len:346)
[Massive] 89722444.sgf (W:W) Low:0.09@124 -> Rev@147 (Len:284)
[Endgame] 89723718.sgf (W:B) Low:0.22@218 -> Rev@241 (Len:353)
[Endgame] 89723270.sgf (W:W) Low:0.24@186 -> Rev@252 (Len:320)
[Endgame] 89724284.sgf (W:W) Low:0.19@151 -> Rev@228 (Len:329)
[Endgame] 89724055.sgf (W:B) Low:0.23@244 -> Rev@273 (Len:372)
[Endgame] 89722605.sgf (W:B) Low:0.18@180 -> Rev@205 (Len:347)
[Massive] 89724016.sgf (W:W) Low:0.06@141 -> Rev@166 (Len:310)
[Massive] 89724483.sgf (W:B) Low:0.10@119 -> Rev@216 (Len:341)
[Endgame] 89722901.sgf (W:W) Low:0.15@168 -> Rev@262 (Len:317)
[Endgame] 89723769.sgf (W:W) Low:0.24@218 -> Rev@253 (Len:314)
[Endgame] 89722254.sgf (W:B) Low:0.35@215 -> Rev@238 (Len:362)
[Endgame] 89723421.sgf (W:B) Low:0.33@242 -> Rev@244 (Len:295)
[Massive] 89724857.sgf (W:B) Low:0.05@182 -> Rev@213 (Len:312)
[Endgame] 89724500.sgf (W:W) Low:0.13@207 -> Rev@248 (Len:347)
[Massive] 89723215.sgf (W:W) Low:0.08@151 -> Rev@240 (Len:322)
[Endgame] 89724699.sgf (W:B) Low:0.25@159 -> Rev@221 (Len:336)
[Endgame] 89723017.sgf (W:W) Low:0.14@178 -> Rev@221 (Len:317)
[Endgame] 89723985.sgf (W:B) Low:0.28@199 -> Rev@241 (Len:307)
[Endgame] 89722247.sgf (W:W) Low:0.38@194 -> Rev@203 (Len:349)
[Endgame] 89724096.sgf (W:B) Low:0.34@157 -> Rev@202 (Len:258)
Processed 500...
[Endgame] 89724197.sgf (W:B) Low:0.32@176 -> Rev@200 (Len:360)
[Endgame] 89722790.sgf (W:B) Low:0.15@151 -> Rev@204 (Len:340)
[Endgame] 89723993.sgf (W:B) Low:0.31@151 -> Rev@206 (Len:321)
[Endgame] 89722000.sgf (W:W) Low:0.19@186 -> Rev@208 (Len:311)
[Endgame] 89723320.sgf (W:W) Low:0.17@226 -> Rev@244 (Len:372)
